,Date,Text,User
70,2020-06-11 17:23:58,"Uttar Pradesh sees record single-day spike of 24 covid-19 deaths, 478 new cases https://t.co/noqiNpEqF7",TomorrowsNEWS4
71,2020-06-11 17:23:53,"Delhi witnesses highest single-day spike in Covid-19 cases, count crosses 34,000 https://t.co/FXXgp3hRBL",TomorrowsNEWS4
72,2020-06-11 17:23:36,BE CAUTIOUS WHILE USING HCQ FOR TREATING COVID-19 IN MYASTHENIA GRAVIS https://t.co/qIKBolmmDo,hyderabaddoctor
73,2020-06-11 17:23:35,"RT @MPsantoshtrs: Let's Embrace Season-3 #GreenIndiaChallenge. Amid #COVID situation all over, let us reconnect ourselves with the #Nature.…",kankayellarao
74,2020-06-11 17:23:13,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",RakiTweets
75,2020-06-11 17:22:53,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",Prince100010
76,2020-06-11 17:22:50,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",SivaRamSankar14
77,2020-06-11 17:22:49,RT @revathitweets: 35 yr old man from Mehdipatnam tested positive for #Covid_19 and admitted at #GandhiHospital on 9th June. Lost life on 1…,Rramesh9999
78,2020-06-11 17:22:47,"RT @Oishani_TNIE: #GHMC Mayor Bonthu Rammohan's driver has tested positive for #Covid_19

#Hyderabad #Telangana",PintoDeepakTNIE
79,2020-06-11 17:22:45,RT @CoreenaSuares2: Two websites picked up NewsMeter's story on TRS Deputy mayor #COVID positive. Copied top to bottom and the only effort…,umairzz
80,2020-06-11 17:22:44,"RT @UttaraVarmaTOI: #Hyderabad: As #COVID19 fears grow, last rites of 150 victims done in secret 

Many families don't turn up. Many can't.…",uttaravarma
81,2020-06-11 17:22:42,RT @RishikaSadam: #Telangana- Doctors’ strike in State-run Gandhi Hospital continues. Primary demand is decentralisation of cases. Health M…,Yagnasai1995
82,2020-06-11 17:22:28,RT @ProNaMoSeva: #Covid spreading at an alarming rate in Telangana..another warning of what is in store for us if authorities don’t wake up…,Syedirfaaaan
83,2020-06-11 17:21:56,RT @revathitweets: 35 yr old man from Mehdipatnam tested positive for #Covid_19 and admitted at #GandhiHospital on 9th June. Lost life on 1…,Syedirfaaaan
84,2020-06-11 17:21:51,"RT @apjithender: The entire nation is talking about the shockingly low #COVID19 testing in Telangana. 
- Less than 40,000 tests done 
- 646…",Vicky44939132
85,2020-06-11 17:21:49,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",sridharera
86,2020-06-11 17:21:42,RT @Ashi_IndiaToday: Shocking! absence of timely medical attention and lack of apathy killed a man in #Telangana. 52-YO #Hyderabad man died…,Gautham9999
87,2020-06-11 17:21:31,"Tamil Nadu reports 1,875 fresh covid-19 cases, 23 deaths https://t.co/cmAFH4IwxP",TomorrowsNEWS4
88,2020-06-11 17:21:25,RT @CoreenaSuares2: https://t.co/kOkb2dck3J,Vikas4Bharat
89,2020-06-11 17:21:24,@MPsantoshtrs @telugufilmnagar @TNewstg @ntdailyonline @SakshiTelangana @Eenadu_Newspapr @the_hindu @TOIHyderabad… https://t.co/Ef9jjfLPTO,AnwarQuayum
90,2020-06-11 17:21:22,RT @Ashi_IndiaToday: Shocking! absence of timely medical attention and lack of apathy killed a man in #Telangana. 52-YO #Hyderabad man died…,ganupapranith
91,2020-06-11 17:21:21,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",Thota1Arjun
92,2020-06-11 17:21:21,"RT @V6_Suresh: Breaking : 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.#Telan…",murarigowtham
93,2020-06-11 17:21:20,RT @CoreenaSuares2: https://t.co/kOkb2dck3J,YounusFarhaan
94,2020-06-11 17:21:07,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",chinna_943
95,2020-06-11 17:21:06,RT @CoreenaSuares2: https://t.co/ikZMYYZuFf,Vikas4Bharat
96,2020-06-11 17:20:53,"RT @CoreenaSuares2: #JUSTIN: 10 from #BanjaraHills police station tested #COVID positive. 
One sub- inspector and 9 constables infected.",Pavan4054
97,2020-06-11 17:20:50,RT @dheeshmap: #UPDATE : The doctors continue to protest in front of #GandhiHospital demanding special police force. #Telangana #COVID__19…,rotvinoth
98,2020-06-11 17:20:47,"RT @dheeshmap: #UPDATE : Jr Doctor from #Gandhi hospital in #Hyderabad who treat #COVID__19 patients explaining their ordeal. 

Post gradua…",rotvinoth
99,2020-06-11 17:20:43,"RT @studentsupdate0: #cancelOUexams
one of the Employee of osmania university was expired due to Covid ,So please Cancel exams and promote…",saifmohammed312
