0,1,2
2020-04-03 23:25:45+00:00,"Do we still have any Muslims or Lutyens liberals who continue to support Nizamuddin activities . Covid-19: 16 die in a day; Tamil Nadu records 102 cases as India total tops 3,000 | India News - Times of India https://timesofindia.indiatimes.com/india/covid-19-16-die-in-a-day-tamil-nadu-records-102-cases-as-india-total-tops-3000/articleshow/74975802.cms",nilaydutta
2020-04-03 23:25:15+00:00,Hope you feel better. My husband had exact same Covid cough in December for 3 weeks after traveling to India. And same with 2 other coworkers. It was here long before January,planetclaire17
2020-04-03 23:25:13+00:00,WE HAVE MANY A ITALY ALLOVER INDIA. @PMOIndia @narendramodi @ARanganathan72 Dear all anything less than cure is not going to help India- be it hydroxychloroquine or be it BCG vaccination decide it fast else catastrophe served by COVID-19 WUD BE BEYOND IMAGINATION. ,samirstweet
2020-04-03 23:25:10+00:00,There were 2 babies born in India they were named Covid &amp; Corona GOD I HATE PEOPLE,_thatMDgirl
2020-04-03 23:24:42+00:00,"Hundreds of millions of people globally work odd jobs, from India to Africa to South America. With coronavirus quarantines keeping them from work, many worry about homelessness and hunger. https://www.wsj.com/articles/in-developing-world-coronavirus-slams-workers-in-informal-economy-11585819801 If you starve people to death, then they won't get COVID-19. #FTL",AlephBlog
2020-04-03 23:22:00+00:00,"India's tourism sector may lose Rs 5 lakh crore, 4-5 crore jobs could be cut due to COVID-19: CII https://travelwirenews.com/indias-tourism-sector-may-lose-rs-5-lakh-crore-4-5-crore-jobs-could-be-cut-due-to-covid-19-cii-2-1695442/",eTurboNews
2020-04-03 23:21:58+00:00,I - How has India handled the covid-19 pandemic?,viEXTEMPIREix
2020-04-03 23:21:25+00:00,"After the lockdown birth in India, An Indian couple says they’ve named their newborn twins Corona and Covid in an effort to put a positive spin on the deadly pandemic that is sweeping the globe. #coronavirus #COVID19 #India #twins https://globalnews.ca/news/6773086/coronavirus-covid-corona-twins-india/",WorldBroadcast3
2020-04-03 23:20:59+00:00,"LIVE - CoronaVirus India Real Time Tracker, World Map, COVID-19 Count [Updated every 5 Minutes] Read More: http://tinyurl.com/yxx3kyfm #coronaindia #CoronaWorldMap #coronavirus #covid19india #COVID-19Count #India #livecorona #livecoronavirus #RealTimeTracker #worldmap",pcgame
2020-04-03 23:20:59+00:00,"Rest of the world: The biggest symptoms of #COVID19 are dry cough,fever and body aches. In #India: The biggest symptom of #COVID_19 is #Islamophobia. #TJKMKB #coronavirus #CoronaUpdatesInIndia",Aaapwala
2020-04-03 23:20:44+00:00,Nasceu gêmeos na Índia e qual nome colocaram? Isso mesmo que você tá imaginando: corona e covid,tathiane_vidal
2020-04-03 23:20:03+00:00,"PM deplores move to change Kashmir’s demography, says India exploiting world focus on COVID-19 https://arynews.tv/en/pm-imran-khan-modi-govt-kashmir-demography/ via @arynewsofficial",KB007Kashmir
2020-04-03 23:19:46+00:00,COVID-19 के खिलाफ हमारी लड़ाई के दौरान #CRPF बैंड का देश के नाम एक संदेश। The #CRPF band has a message for the nation as #IndiaFightsCorona . @HMOIndia @PIBHomeAffairs @PIB_India @MoHFW_INDIA @DrAPMaheshwari For complete video please click the link https://www.facebook.com/1725750921053409/posts/2258405817787914/,crpfindia
2020-04-03 23:19:41+00:00,"93-yr-old Kerala man, 88-yr-old wife cured of Covid-19 - india news - ",southasiansnews
2020-04-03 23:19:28+00:00,"20 COVID-19 cases in Assam, NE tally rises to 24 | India News – Times of India ",services_ns
2020-04-03 23:18:52+00:00,#HoyMismo #Internacionales | Coronavirus: padres en La India nombran Covid y Corona a sus bebés por la pandemia ,HoyMismoTSI
2020-04-03 23:18:30+00:00,"20 COVID-19 cases in Assam, NE tally rises to 24 | India News – Times of India http://yourbestlines.com/2020/04/03/20-covid-19-cases-in-assam-ne-tally-rises-to-24-india-news-times-of-india/",ybl_news
2020-04-03 23:18:11+00:00,Again requesting all of you to follow the govt guidelines against corona Covid-19 pandemic. You are only one to make india safe from this pandemic. So stay home and stay safe.. ,BGAJENDRA1
2020-04-03 23:17:31+00:00,"This Pandit was a Jihadi who was attempting to make India loose the fight against Covid-19 by arranging a ritual and making people participate in it. Due to this Pandit, life of billions of Indian people is at stake.",JitenKu41948543
2020-04-03 23:17:31+00:00,GoM Reviews Overall Circumstance Across India In The Middle Of Covid-19 Lockdown http://importantindianews.com/gom-reviews-overall-circumstance-across-india-in-the-middle-of-covid-19-lockdown/,IndiaImportant
